Rank,Company Name,Total Jobs,Categories,Signal Strength,Sample Roles,Data Sources,Last Updated
135,RSA Ltd,14,sspm,Very High,SaaS Security Posture Manager; GenAI Security Specialist; Cloud Security Engineer; SaaS Security Analyst; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
136,Datadog Inc,17,"saas_compliance, ai_agent_security, ai_compliance",Very High,Cloud Security Engineer; SaaS Governance Analyst; SaaS Security Consultant; SSPM Engineer; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
137,Squarespace,19,"sspm, saas_compliance, ai_agent_security",Very High,Cloud Security Engineer; SaaS Security Engineer; SaaS Security Analyst; SaaS Security Posture Manager; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
138,Linode,8,saas_compliance,High,SaaS Security Engineer; GenAI Security Specialist; Cloud Security Architect; SSPM Engineer; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
139,ClickUp,16,sspm,Very High,SaaS Security Consultant; SaaS Security Analyst; SaaS Risk Analyst; AI Compliance Engineer; SSPM Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
140,Jira,9,ai_agent_security,High,SSPM Engineer; AI Security Engineer; SaaS Security Posture Manager; SaaS Compliance Manager; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
141,Cisco,10,"sspm, saas_compliance",Very High,SaaS Risk Analyst; SaaS Security Consultant; AI Security Engineer; Security Engineer - SaaS; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
142,Dropbox,20,"ai_compliance, sspm, saas_security",Very High,SaaS Security Analyst; AI Security Engineer; SaaS Risk Analyst; SaaS Security Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
143,GitHub Inc,14,"sspm, saas_compliance",Very High,SaaS Security Posture Manager; GenAI Security Specialist; SaaS Compliance Manager; SaaS Security Engineer; AI Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
144,F5 Networks,18,"ai_agent_security, sspm",Very High,SSPM Engineer; SaaS Security Posture Manager; SaaS Security Consultant; SaaS Compliance Manager; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
145,Jira ,8,"ai_agent_security, sspm, saas_compliance",High,SaaS Security Consultant; SaaS Security Posture Manager; SSPM Engineer; Security Engineer - SaaS; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
146,Google ,17,"saas_compliance, saas_security",Very High,AI Compliance Engineer; GenAI Security Specialist; Cloud Security Engineer; SSPM Engineer; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
147,Dropbox,16,ai_compliance,Very High,SSPM Engineer; AI Security Engineer; SaaS Risk Analyst; SaaS Compliance Manager; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
148,GitHub Actions,9,"saas_security, ai_compliance",Very High,SaaS Security Posture Manager; SaaS Compliance Manager; Security Engineer - SaaS; GenAI Security Specialist; AI Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
149,Ping Identity,17,"sspm, ai_agent_security, saas_compliance",Very High,SaaS Security Engineer; SSPM Engineer; AI Security Engineer; AI Compliance Engineer; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
150,Monday.com LLC,11,"sspm, saas_compliance",Very High,SaaS Security Posture Manager; SaaS Security Engineer; SaaS Security Analyst; SSPM Engineer; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
151,Rapid7,12,sspm,Very High,SaaS Compliance Manager; SaaS Security Consultant; Cloud Security Engineer; SaaS Security Engineer; AI Compliance Engineer,Indeed,2025-12-01 22:02:58
152,Twilio,20,"ai_compliance, sspm, saas_security",Very High,SaaS Security Consultant; SaaS Risk Analyst; GenAI Security Specialist; AI Security Engineer; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
153,Barracuda,12,"sspm, ai_compliance",Very High,AI Compliance Engineer; SSPM Engineer; SaaS Risk Analyst; AI Security Engineer; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
154,Twilio,12,saas_compliance,Very High,AI Security Engineer; SaaS Security Consultant; SaaS Compliance Manager; Security Engineer - SaaS; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
155,Square LLC,17,"saas_security, saas_compliance, ai_compliance",Very High,SaaS Compliance Manager; AI Security Engineer; SSPM Engineer; SaaS Security Analyst; Cloud Security Architect,Indeed,2025-12-01 22:02:58
156,GitHub,14,"sspm, saas_security, ai_compliance",Very High,SaaS Compliance Manager; Cloud Security Architect; SaaS Security Analyst; SaaS Security Posture Manager; SaaS Risk Analyst,LinkedIn,2025-12-01 22:02:58
157,Vercel,19,ai_agent_security,Very High,Cloud Security Engineer; SaaS Compliance Manager; AI Security Engineer; AI Compliance Engineer; SSPM Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
158,DigitalOcean,20,"saas_compliance, ai_agent_security",Very High,SaaS Risk Analyst; SaaS Security Engineer; Cloud Security Engineer; AI Compliance Engineer; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
159,Vercel,19,saas_security,Very High,Security Engineer - SaaS; SSPM Engineer; SaaS Governance Analyst; SaaS Security Consultant; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
160,Trello,8,"ai_compliance, saas_compliance, ai_agent_security",High,SaaS Security Analyst; AI Compliance Engineer; AI Security Engineer; Cloud Security Architect; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
161,Heroku LLC,19,"saas_security, saas_compliance, ai_compliance",Very High,SaaS Risk Analyst; Cloud Security Architect; SaaS Security Analyst; Cloud Security Engineer; SaaS Security Posture Manager,Indeed,2025-12-01 22:02:58
162,Sprout Social,9,"sspm, ai_compliance, saas_compliance",Very High,GenAI Security Specialist; SaaS Compliance Manager; SaaS Security Engineer; SaaS Security Analyst; SaaS Risk Analyst,Indeed,2025-12-01 22:02:58
163,Workday,15,"saas_compliance, ai_compliance, ai_agent_security",Very High,SaaS Security Consultant; SSPM Engineer; SaaS Security Engineer; Security Engineer - SaaS; SaaS Risk Analyst,Indeed,2025-12-01 22:02:58
164,Atlassian,13,"saas_compliance, saas_security",Very High,SaaS Security Posture Manager; SaaS Security Analyst; SaaS Risk Analyst; Cloud Security Engineer; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
165,IBM,20,ai_agent_security,Very High,SaaS Security Analyst; GenAI Security Specialist; Cloud Security Engineer; SaaS Governance Analyst; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
166,AWS,16,sspm,Very High,SaaS Compliance Manager; SaaS Risk Analyst; AI Compliance Engineer; AI Security Engineer; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
167,Amazon,8,"ai_agent_security, ai_compliance, saas_compliance",High,GenAI Security Specialist; SaaS Compliance Manager; SaaS Governance Analyst; AI Security Engineer; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
168,CyberArk,9,"saas_security, ai_agent_security",Very High,Cloud Security Architect; SaaS Security Posture Manager; SaaS Governance Analyst; SaaS Security Engineer; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
169,Slack ,17,"saas_compliance, saas_security, sspm",Very High,SaaS Risk Analyst; SaaS Security Analyst; SaaS Governance Analyst; Cloud Security Architect; SaaS Security Consultant,Indeed,2025-12-01 22:02:58
170,Amazon LLC,8,saas_security,High,SSPM Engineer; Cloud Security Architect; SaaS Compliance Manager; AI Compliance Engineer; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
171,Palo Alto Networks,12,ai_compliance,Very High,Security Engineer - SaaS; SaaS Security Consultant; Cloud Security Architect; GenAI Security Specialist; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
172,Airtable,12,"sspm, ai_agent_security",Very High,SaaS Risk Analyst; AI Security Engineer; SaaS Governance Analyst; SaaS Security Engineer; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
173,McAfee,18,"ai_compliance, ai_agent_security",Very High,SaaS Security Posture Manager; Cloud Security Engineer; SaaS Risk Analyst; SSPM Engineer; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
174,HubSpot Corp,13,ai_compliance,Very High,SaaS Security Engineer; AI Security Engineer; SaaS Compliance Manager; SaaS Security Consultant; SSPM Engineer,Indeed,2025-12-01 22:02:58
175,McAfee,8,"ai_compliance, saas_compliance",High,SaaS Security Analyst; SaaS Security Posture Manager; SaaS Governance Analyst; Cloud Security Architect; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
176,Constant Contact ,8,"sspm, saas_compliance, ai_compliance",High,AI Compliance Engineer; SaaS Security Analyst; SaaS Risk Analyst; Cloud Security Architect; Security Engineer - SaaS,"Indeed, LinkedIn",2025-12-01 22:02:58
177,New Relic,9,ai_compliance,High,SaaS Risk Analyst; SaaS Governance Analyst; GenAI Security Specialist; SSPM Engineer; SaaS Security Posture Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
178,DigitalOcean Inc,10,"saas_security, ai_agent_security",Very High,SaaS Risk Analyst; Cloud Security Architect; SaaS Security Consultant; SSPM Engineer; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
179,Sprout Social,16,ai_compliance,Very High,SaaS Security Engineer; AI Security Engineer; SaaS Compliance Manager; Security Engineer - SaaS; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
180,SailPoint,12,"saas_compliance, ai_agent_security, sspm",Very High,AI Security Engineer; SSPM Engineer; SaaS Security Consultant; GenAI Security Specialist; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
181,Qualys ,10,saas_security,Very High,SaaS Compliance Manager; Cloud Security Architect; Cloud Security Engineer; Security Engineer - SaaS; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
182,Twilio,10,ai_agent_security,Very High,Cloud Security Architect; SaaS Compliance Manager; SaaS Risk Analyst; SaaS Security Engineer; AI Security Engineer,Indeed,2025-12-01 22:02:58
183,Microsoft ,17,"sspm, ai_compliance, saas_security",Very High,SaaS Compliance Manager; SaaS Security Consultant; Cloud Security Engineer; SaaS Governance Analyst; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
184,Buffer Ltd,17,ai_agent_security,Very High,SSPM Engineer; SaaS Risk Analyst; SaaS Compliance Manager; SaaS Security Analyst; SaaS Security Posture Manager,Indeed,2025-12-01 22:02:58
185,Microsoft,10,"ai_compliance, sspm",Very High,SaaS Governance Analyst; Security Engineer - SaaS; SaaS Security Posture Manager; SaaS Security Consultant; Cloud Security Architect,Indeed,2025-12-01 22:02:58
186,Slack,11,"ai_agent_security, sspm, saas_compliance",Very High,Cloud Security Architect; Cloud Security Engineer; SaaS Risk Analyst; Security Engineer - SaaS; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
187,Proofpoint,13,"saas_compliance, saas_security, ai_agent_security",Very High,SaaS Security Engineer; Cloud Security Engineer; SaaS Governance Analyst; SaaS Compliance Manager; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
188,Calendly ,11,"saas_compliance, saas_security",Very High,Security Engineer - SaaS; SaaS Security Engineer; SSPM Engineer; SaaS Compliance Manager; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
189,Qualys,17,ai_compliance,Very High,Cloud Security Architect; AI Security Engineer; SaaS Security Consultant; SaaS Risk Analyst; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
190,Zoom,15,"ai_agent_security, saas_security, ai_compliance",Very High,SaaS Compliance Manager; SaaS Risk Analyst; Security Engineer - SaaS; SaaS Governance Analyst; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
191,Cloudflare Inc,19,saas_compliance,Very High,Cloud Security Engineer; AI Compliance Engineer; SaaS Security Posture Manager; AI Security Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
192,Notion,8,saas_security,High,SSPM Engineer; SaaS Security Posture Manager; SaaS Security Consultant; SaaS Security Engineer; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
193,Zscaler,8,sspm,High,SaaS Security Engineer; Security Engineer - SaaS; GenAI Security Specialist; AI Security Engineer; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
194,Vercel,14,"ai_agent_security, sspm, ai_compliance",Very High,AI Compliance Engineer; Cloud Security Architect; SaaS Security Posture Manager; Security Engineer - SaaS; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
195,OneLogin,17,"saas_compliance, ai_agent_security, saas_security",Very High,Security Engineer - SaaS; Cloud Security Engineer; SSPM Engineer; GenAI Security Specialist; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
196,SquareSpace,8,"ai_compliance, saas_security, sspm",High,Cloud Security Architect; SaaS Security Analyst; SaaS Security Consultant; SaaS Security Posture Manager; SSPM Engineer,Indeed,2025-12-01 22:02:58
197,Cisco,12,"saas_compliance, ai_compliance, sspm",Very High,SaaS Compliance Manager; AI Compliance Engineer; Cloud Security Architect; SaaS Security Consultant; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
198,F5 Networks,14,ai_compliance,Very High,SaaS Security Engineer; SaaS Risk Analyst; GenAI Security Specialist; SaaS Security Consultant; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
199,GitLab,14,"ai_agent_security, sspm",Very High,AI Compliance Engineer; SaaS Security Engineer; SSPM Engineer; SaaS Compliance Manager; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
200,Fastly,13,"ai_agent_security, ai_compliance, sspm",Very High,Cloud Security Architect; SaaS Governance Analyst; SSPM Engineer; SaaS Security Engineer; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
201,Jira,10,"saas_security, ai_agent_security",Very High,SaaS Security Consultant; SaaS Security Posture Manager; Cloud Security Engineer; SaaS Governance Analyst; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
202,Bitbucket,10,saas_security,Very High,SaaS Security Analyst; SaaS Risk Analyst; Cloud Security Architect; SaaS Security Consultant; SaaS Compliance Manager,Indeed,2025-12-01 22:02:58
203,Hootsuite Inc,6,saas_compliance,High,Security Engineer - SaaS; SSPM Engineer; SaaS Compliance Manager; SaaS Security Engineer; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
204,Barracuda ,3,"saas_compliance, sspm, ai_agent_security",Medium,AI Security Engineer; SaaS Security Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
205,DigitalOcean ,5,saas_compliance,High,SSPM Engineer; Cloud Security Engineer; SaaS Security Posture Manager; SaaS Security Engineer; SaaS Risk Analyst,LinkedIn,2025-12-01 22:02:58
206,MongoDB Inc,10,"saas_security, sspm",Very High,Security Engineer - SaaS; AI Security Engineer; SaaS Security Posture Manager; Cloud Security Architect; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
207,Duo Security Inc,9,saas_compliance,High,SaaS Security Engineer; SaaS Security Posture Manager; SaaS Governance Analyst; SSPM Engineer; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
208,Airtable,4,sspm,Medium,Cloud Security Engineer; SaaS Risk Analyst; SaaS Security Engineer; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
209,Tableau,9,ai_compliance,High,AI Compliance Engineer; SaaS Security Posture Manager; SSPM Engineer; SaaS Security Consultant; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
210,Cloudflare,10,"sspm, ai_agent_security, ai_compliance",Very High,SaaS Compliance Manager; SaaS Governance Analyst; SaaS Security Posture Manager; Security Engineer - SaaS; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
211,Monday.com,6,ai_compliance,High,SaaS Security Posture Manager; Cloud Security Architect; SaaS Security Consultant; Cloud Security Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
212,Airtable,7,sspm,High,Cloud Security Engineer; SaaS Governance Analyst; AI Security Engineer; SaaS Security Consultant; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
213,Calendly,6,"sspm, ai_compliance",High,SaaS Security Posture Manager; AI Compliance Engineer; SaaS Security Engineer; SaaS Risk Analyst; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
214,Symantec,9,"ai_compliance, sspm, saas_security",Very High,SaaS Compliance Manager; SSPM Engineer; Cloud Security Engineer; SaaS Risk Analyst; SaaS Security Posture Manager,LinkedIn,2025-12-01 22:02:58
215,Zoom,8,"saas_compliance, ai_compliance",High,SaaS Security Posture Manager; SaaS Security Analyst; SaaS Risk Analyst; AI Compliance Engineer; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
216,Databricks LLC,3,"sspm, ai_compliance",Medium,AI Compliance Engineer; SaaS Security Engineer; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
217,Auth0,8,"saas_security, saas_compliance",High,SaaS Security Consultant; SaaS Governance Analyst; SaaS Security Posture Manager; SaaS Risk Analyst; AI Compliance Engineer,Indeed,2025-12-01 22:02:58
218,Jenkins,9,"saas_compliance, sspm, ai_compliance",Very High,SaaS Compliance Manager; Cloud Security Architect; SaaS Security Consultant; SaaS Security Engineer; Cloud Security Engineer,Indeed,2025-12-01 22:02:58
219,Shopify Inc,3,sspm,Medium,Security Engineer - SaaS; AI Security Engineer; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
220,Notion,10,"sspm, saas_security",Very High,SaaS Risk Analyst; SaaS Security Consultant; AI Security Engineer; Cloud Security Architect; SaaS Security Analyst,Indeed,2025-12-01 22:02:58
221,Splunk ,9,"sspm, saas_security",Very High,Security Engineer - SaaS; SaaS Security Analyst; AI Security Engineer; Cloud Security Engineer; SaaS Security Posture Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
222,Basecamp,5,ai_agent_security,High,AI Security Engineer; GenAI Security Specialist; SSPM Engineer; Cloud Security Architect; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
223,Trello ,9,"ai_agent_security, saas_compliance",Very High,SaaS Security Analyst; Cloud Security Engineer; Cloud Security Architect; AI Compliance Engineer; SaaS Governance Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
224,Hootsuite,6,saas_compliance,High,SaaS Security Posture Manager; AI Compliance Engineer; SaaS Security Analyst; SSPM Engineer; SaaS Security Engineer,Indeed,2025-12-01 22:02:58
225,Fortinet,4,saas_security,Medium,SaaS Security Consultant; Cloud Security Engineer; AI Compliance Engineer; SSPM Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
226,Duo Security ,8,ai_agent_security,High,SaaS Security Engineer; SaaS Governance Analyst; SaaS Risk Analyst; SaaS Security Analyst; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
227,Heroku,4,"saas_compliance, ai_agent_security",High,Security Engineer - SaaS; AI Security Engineer; SaaS Security Analyst; SaaS Security Posture Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
228,Tableau,7,ai_agent_security,High,SaaS Governance Analyst; SaaS Security Analyst; AI Compliance Engineer; SSPM Engineer; SaaS Security Consultant,Indeed,2025-12-01 22:02:58
229,Microsoft,6,saas_security,High,SaaS Security Engineer; SaaS Governance Analyst; Cloud Security Architect; SaaS Security Posture Manager; Cloud Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
230,Intercom,7,"saas_security, ai_agent_security, ai_compliance",High,Cloud Security Architect; AI Compliance Engineer; Security Engineer - SaaS; SaaS Compliance Manager; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
231,Palo Alto Networks Corp,3,"saas_compliance, sspm, saas_security",Medium,SaaS Security Consultant; Cloud Security Architect; SaaS Compliance Manager,LinkedIn,2025-12-01 22:02:58
232,CrowdStrike,8,"ai_compliance, ai_agent_security, saas_compliance",High,SaaS Security Consultant; AI Compliance Engineer; Security Engineer - SaaS; AI Security Engineer; SaaS Security Engineer,LinkedIn,2025-12-01 22:02:58
233,Fortinet LLC,6,"ai_agent_security, sspm",High,AI Compliance Engineer; SaaS Governance Analyst; SaaS Security Posture Manager; GenAI Security Specialist; SaaS Compliance Manager,Indeed,2025-12-01 22:02:58
234,GitHub Corp,3,"ai_compliance, sspm, saas_security",Medium,GenAI Security Specialist; SaaS Security Engineer; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
235,Cloudflare,4,"ai_agent_security, ai_compliance",High,SaaS Compliance Manager; SaaS Security Engineer; Cloud Security Engineer; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
236,Vultr,9,ai_compliance,High,Security Engineer - SaaS; SaaS Security Consultant; Cloud Security Engineer; SaaS Security Engineer; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
237,Squarespace LLC,8,"ai_agent_security, sspm, saas_compliance",High,SaaS Security Engineer; AI Compliance Engineer; SaaS Security Posture Manager; SaaS Governance Analyst; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
238,HubSpot LLC,3,"saas_compliance, ai_agent_security, saas_security",Medium,SSPM Engineer; SaaS Security Analyst; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
239,HubSpot LLC,10,"ai_compliance, saas_security, sspm",Very High,GenAI Security Specialist; SaaS Security Analyst; SaaS Governance Analyst; SaaS Security Engineer; SaaS Security Consultant,LinkedIn,2025-12-01 22:02:58
240,Akamai,10,"saas_security, ai_agent_security, ai_compliance",Very High,Cloud Security Architect; GenAI Security Specialist; AI Compliance Engineer; AI Security Engineer; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
241,Tableau,6,ai_agent_security,High,SaaS Risk Analyst; SaaS Security Posture Manager; Cloud Security Engineer; Security Engineer - SaaS; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
242,Travis CI ,10,"ai_compliance, saas_security",Very High,SaaS Security Consultant; Cloud Security Architect; SaaS Risk Analyst; SaaS Compliance Manager; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
243,Oracle,8,ai_compliance,High,SaaS Governance Analyst; SaaS Security Consultant; SaaS Security Posture Manager; Cloud Security Engineer; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
244,Amazon,9,"sspm, ai_agent_security",Very High,GenAI Security Specialist; SaaS Security Consultant; SSPM Engineer; SaaS Risk Analyst; SaaS Security Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
245,Palo Alto Networks,7,"ai_agent_security, ai_compliance, saas_security",High,Cloud Security Architect; GenAI Security Specialist; SaaS Security Engineer; SaaS Compliance Manager; Cloud Security Engineer,LinkedIn,2025-12-01 22:02:58
246,Oracle,7,"saas_compliance, ai_agent_security",High,SaaS Governance Analyst; SaaS Risk Analyst; Cloud Security Engineer; Cloud Security Architect; SaaS Security Consultant,Indeed,2025-12-01 22:02:58
247,Travis CI ,8,ai_agent_security,High,SSPM Engineer; Cloud Security Architect; SaaS Security Analyst; Cloud Security Engineer; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
248,Monday.com,4,"saas_compliance, ai_compliance, sspm",High,GenAI Security Specialist; Cloud Security Engineer; SaaS Security Engineer; Security Engineer - SaaS,Indeed,2025-12-01 22:02:58
249,Airtable ,3,"saas_compliance, saas_security, ai_agent_security",Medium,SaaS Security Consultant; SaaS Security Posture Manager; AI Security Engineer,LinkedIn,2025-12-01 22:02:58
250,Bitbucket ,5,saas_security,High,SaaS Security Engineer; SaaS Risk Analyst; SaaS Security Posture Manager; Cloud Security Engineer; SSPM Engineer,Indeed,2025-12-01 22:02:58
251,RSA LLC,10,sspm,Very High,GenAI Security Specialist; AI Compliance Engineer; SaaS Security Engineer; SaaS Security Analyst; SSPM Engineer,LinkedIn,2025-12-01 22:02:58
252,Asana,6,"saas_compliance, ai_compliance, sspm",High,AI Security Engineer; Cloud Security Architect; Cloud Security Engineer; SaaS Security Posture Manager; GenAI Security Specialist,Indeed,2025-12-01 22:02:58
253,Ping Identity,6,saas_security,High,Security Engineer - SaaS; Cloud Security Architect; SaaS Security Engineer; Cloud Security Engineer; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
254,Azure,10,"saas_compliance, saas_security",Very High,Cloud Security Architect; SaaS Compliance Manager; Security Engineer - SaaS; AI Security Engineer; SaaS Security Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
255,Hashicorp Corp,6,"ai_compliance, ai_agent_security",High,SaaS Security Analyst; SaaS Security Consultant; SaaS Governance Analyst; SaaS Security Posture Manager; SaaS Risk Analyst,Indeed,2025-12-01 22:02:58
256,Constant Contact,7,saas_compliance,High,Cloud Security Architect; SaaS Security Engineer; AI Security Engineer; SaaS Compliance Manager; Security Engineer - SaaS,LinkedIn,2025-12-01 22:02:58
257,Monday.com,6,sspm,High,SaaS Security Analyst; Cloud Security Engineer; SaaS Security Posture Manager; AI Security Engineer; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
258,Google ,5,"sspm, saas_compliance",High,SaaS Compliance Manager; SaaS Security Engineer; GenAI Security Specialist; Cloud Security Engineer; SaaS Security Analyst,Indeed,2025-12-01 22:02:58
259,Palo Alto Networks Inc,6,"ai_compliance, ai_agent_security",High,SaaS Security Analyst; AI Compliance Engineer; Cloud Security Architect; Cloud Security Engineer; SaaS Governance Analyst,LinkedIn,2025-12-01 22:02:58
260,Box Inc,3,saas_compliance,Medium,SaaS Security Analyst; Cloud Security Architect; SaaS Security Consultant,LinkedIn,2025-12-01 22:02:58
261,Jira,5,"saas_compliance, ai_agent_security",High,Cloud Security Architect; SaaS Security Posture Manager; SaaS Compliance Manager; SaaS Governance Analyst; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
262,Confluent,5,"ai_compliance, saas_compliance",High,SaaS Security Posture Manager; Cloud Security Architect; GenAI Security Specialist; AI Security Engineer; SaaS Security Analyst,LinkedIn,2025-12-01 22:02:58
263,SendGrid,6,"saas_compliance, sspm, ai_compliance",High,SaaS Risk Analyst; SaaS Compliance Manager; SSPM Engineer; AI Compliance Engineer; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
264,Slack,6,"sspm, saas_compliance, ai_compliance",High,Security Engineer - SaaS; SaaS Security Analyst; Cloud Security Engineer; SaaS Governance Analyst; GenAI Security Specialist,"Indeed, LinkedIn",2025-12-01 22:02:58
265,Barracuda,10,"saas_compliance, saas_security",Very High,SaaS Compliance Manager; SaaS Security Posture Manager; SSPM Engineer; Cloud Security Engineer; SaaS Risk Analyst,"Indeed, LinkedIn",2025-12-01 22:02:58
266,Fastly,7,"saas_security, saas_compliance",High,SaaS Security Posture Manager; SaaS Security Analyst; AI Compliance Engineer; Cloud Security Architect; SaaS Governance Analyst,Indeed,2025-12-01 22:02:58
267,HubSpot,9,"ai_compliance, sspm, saas_security",Very High,GenAI Security Specialist; SaaS Security Engineer; Security Engineer - SaaS; SaaS Compliance Manager; SaaS Security Posture Manager,Indeed,2025-12-01 22:02:58
268,CyberArk,8,sspm,High,SaaS Risk Analyst; Cloud Security Engineer; Security Engineer - SaaS; GenAI Security Specialist; SaaS Security Consultant,"Indeed, LinkedIn",2025-12-01 22:02:58
269,Jenkins,3,"sspm, saas_compliance, saas_security",Medium,AI Security Engineer; SaaS Security Consultant; SaaS Compliance Manager,"Indeed, LinkedIn",2025-12-01 22:02:58
270,Oracle,10,"sspm, saas_security, ai_agent_security",Very High,Security Engineer - SaaS; SaaS Security Engineer; AI Security Engineer; SSPM Engineer; GenAI Security Specialist,LinkedIn,2025-12-01 22:02:58
271,Slack LLC,10,"ai_compliance, saas_compliance, saas_security",Very High,Security Engineer - SaaS; SaaS Security Consultant; SaaS Governance Analyst; SaaS Risk Analyst; AI Compliance Engineer,"Indeed, LinkedIn",2025-12-01 22:02:58
